202-5-46-643;4;6;9;202;5;46;643;MELIGALAS MESSINIAS 2;;21 58 36;37 14 34;205;65
202-5-46-644;4;6;9;202;5;46;644;MELIGALAS MESSINIAS 2;;21 58 36;37 14 34;300;65
202-5-22-652;4;6;9;202;5;22;652;KOLONAKI;;23 44 38;37 58 48;200;65
202-5-22-656;4;6;9;202;5;22;656;KOLONAKI;;23 44 38;37 58 48;200;65
202-5-22-661;4;6;9;202;5;22;661;VATHIS SQ.;;23 43 35;37 59 16;90;65
202-5-22-662;4;6;9;202;5;22;662;VATHIS SQ.;;23 43 35;37 59 16;210;65
202-5-22-663;4;6;9;202;5;22;663;VATHIS SQ.;;23 43 35;37 59 16;330;65
202-5-22-665;4;6;9;202;5;22;665;VATHIS SQ.;;23 43 35;37 59 16;90;65
202-5-22-666;4;6;9;202;5;22;666;VATHIS SQ.;;23 43 35;37 59 16;210;65
202-5-22-667;4;6;9;202;5;22;667;VATHIS SQ.;;23 43 35;37 59 16;330;65
202-5-23-671;4;6;9;202;5;23;671;DRAPETSONA;;23 36 44;37 57 21;15;65
202-5-23-672;4;6;9;202;5;23;672;DRAPETSONA;;23 36 44;37 57 21;75;65
202-5-23-673;4;6;9;202;5;23;673;DRAPETSONA;;23 36 44;37 57 21;140;65
202-5-23-675;4;6;9;202;5;23;675;DRAPETSONA;;23 36 44;37 57 21;15;65
202-5-23-677;4;6;9;202;5;23;677;DRAPETSONA;;23 36 44;37 57 21;140;65
202-5-23-679;4;6;9;202;5;23;679;DRAPETSONA;;23 36 44;37 57 21;310;65
202-5-35-681;4;6;9;202;5;35;681;NIKEA;;23 39 15;37 58 14;0;65
202-5-35-682;4;6;9;202;5;35;682;NIKEA;;23 39 15;37 58 14;90;65
202-5-35-683;4;6;9;202;5;35;683;NIKEA;;23 39 15;37 58 14;180;65
202-5-35-684;4;6;9;202;5;35;684;NIKEA;;23 39 15;37 58 14;270;65
202-5-90-711;4;6;9;202;5;90;711;MAKRIYIANNI;;23 43 25;37 58 01;50;65
202-5-90-712;4;6;9;202;5;90;712;MAKRIYIANNI;;23 43 25;37 58 01;200;65
202-5-90-721;4;6;9;202;5;90;721;N. SMIRNI;;23 42 49;37 56 45;30;65
202-5-90-722;4;6;9;202;5;90;722;N. SMIRNI;;23 42 49;37 56 45;180;65
202-5-90-723;4;6;9;202;5;90;723;N. SMIRNI;;23 42 49;37 56 45;280;65
202-5-90-725;4;6;9;202;5;90;725;N. SMIRNI;;23 42 49;37 56 45;30;65
202-5-90-726;4;6;9;202;5;90;726;N. SMIRNI;;23 42 49;37 56 45;180;65
202-5-90-727;4;6;9;202;5;90;727;N. SMIRNI;;23 42 49;37 56 45;280;65
202-5-100-741;4;6;10;202;5;100;741;ALEXANDRAS;;23 45 03;37 59 18;20;65
202-5-100-742;4;6;10;202;5;100;742;ALEXANDRAS;;23 45 03;37 59 18;100;65
202-5-100-743;4;6;10;202;5;100;743;ALEXANDRAS;;23 45 03;37 59 18;280;65
202-5-100-745;4;6;10;202;5;100;745;ALEXANDRAS;;23 45 03;37 59 18;20;65
202-5-100-746;4;6;10;202;5;100;746;ALEXANDRAS;;23 45 03;37 59 18;100;65
202-5-100-747;4;6;10;202;5;100;747;ALEXANDRAS;;23 45 03;37 59 18;330;65
202-5-80-751;4;6;9;202;5;80;751;AMERIKIS SQ;;23 44 05;38 00 17;35;65
202-5-80-752;4;6;9;202;5;80;752;AMERIKIS SQ;;23 44 05;38 00 17;175;65
202-5-80-753;4;6;9;202;5;80;753;AMERIKIS SQ;;23 44 05;38 00 17;270;65
202-5-80-755;4;6;9;202;5;80;755;AMERIKIS SQ;;23 44 05;38 00 17;35;65
202-5-80-756;4;6;9;202;5;80;756;AMERIKIS SQ;;23 44 05;38 00 17;175;65
202-5-80-757;4;6;9;202;5;80;757;AMERIKIS SQ;;23 44 05;38 00 17;270;65
202-5-31-761;4;6;9;202;5;31;761;PEFKAKIA;;23 44 55;38 02 23;20;65
202-5-31-762;4;6;9;202;5;31;762;PEFKAKIA;;23 44 55;38 02 23;140;65
202-5-31-763;4;6;9;202;5;31;763;PEFKAKIA;;23 44 55;38 02 23;240;65
202-5-31-765;4;6;9;202;5;31;765;PEFKAKIA;;23 44 55;38 02 23;20;65
202-5-22-771;4;6;9;202;5;22;771;LARISSIS ST.;;23 43 18;37 59 41;40;65
202-5-22-772;4;6;9;202;5;22;772;LARISSIS ST.;;23 43 18;37 59 41;160;65
202-5-22-773;4;6;9;202;5;22;773;LARISSIS ST.;;23 43 18;37 59 41;280;65
202-5-22-775;4;6;9;202;5;22;775;LARISSIS ST.;;23 43 18;37 59 41;40;65
202-5-22-776;4;6;9;202;5;22;776;LARISSIS ST.;;23 43 18;37 59 41;160;65
202-5-22-777;4;6;9;202;5;22;777;LARISSIS ST.;;23 43 18;37 59 41;280;65
202-5-22-781;4;6;9;202;5;22;781;MONASTIRAKI;;23 43 37;37 58 51;40;65
202-5-22-782;4;6;9;202;5;22;782;MONASTIRAKI;;23 43 37;37 58 51;160;65
202-5-22-783;4;6;9;202;5;22;783;MONASTIRAKI;;23 43 37;37 58 51;280;65
202-5-22-785;4;6;9;202;5;22;785;MONASTIRAKI;;23 43 37;37 58 51;40;65
202-5-22-786;4;6;9;202;5;22;786;MONASTIRAKI;;23 43 37;37 58 51;160;65
202-5-22-787;4;6;9;202;5;22;787;MONASTIRAKI;;23 43 37;37 58 51;280;65
202-5-100-791;4;6;10;202;5;100;791;ERITHROS STAVROS;;23 46 06;37 59 43;15;65
202-5-100-792;4;6;10;202;5;100;792;ERITHROS STAVROS;;23 46 06;37 59 43;105;65
202-5-100-793;4;6;10;202;5;100;793;ERITHROS STAVROS;;23 46 06;37 59 43;300;65
202-5-100-795;4;6;10;202;5;100;795;ERITHROS STAVROS;;23 46 06;37 59 43;15;65
202-5-100-796;4;6;10;202;5;100;796;ERITHROS STAVROS;;23 46 06;37 59 43;105;65
202-5-100-797;4;6;10;202;5;100;797;ERITHROS STAVROS;;23 46 06;37 59 43;300;65
202-5-100-799;4;6;10;202;5;100;799;ERITHROS STAVROS;;23 46 06;37 59 43;210;65
202-5-22-815;4;6;9;202;5;22;815;ELIKONOS HILL KIPSELI;;23 44 42;38 00 20;10;65
202-5-22-816;4;6;9;202;5;22;816;ELIKONOS HILL KIPSELI;;23 44 42;38 00 20;130;65
202-5-70-821;4;6;9;202;5;70;821;VOULIAGMENI;;23 47 23;37 48 55;90;65
202-5-70-823;4;6;9;202;5;70;823;VOULIAGMENI;;23 47 23;37 48 55;260;65
